54 343
1.000000 0.000000 -0.000000
0.015481 0.021631 -0.999646
-0.011413 -0.999935 0.000000
2666.920000 0.000000 1704.760000 0.000000 2683.620000 1294.870000 0.000000 0.000000 1.000000 
0.193777 -0.351298 0.002320 0.002174 0.000000 0.000000 0.000000 0.000000 
-1.518797 -0.781619 2.063837 0.422454 0.384097 25.531267 
2.000000 -0.900000 0.900000
2.000000 0.000000 0.900000
2.000000 0.900000 0.900000
2.000000 -0.900000 0.000000
2.000000 0.000000 0.000000
2.000000 0.900000 0.000000
2.000000 -0.900000 -0.900000
2.000000 0.000000 -0.900000
2.000000 0.900000 -0.900000
-0.900000 2.000000 0.900000
-0.900000 2.000000 0.000000
-0.900000 2.000000 -0.900000
0.000000 2.000000 0.900000
0.000000 2.000000 0.000000
0.000000 2.000000 -0.900000
0.900000 2.000000 0.900000
0.900000 2.000000 0.000000
0.900000 2.000000 -0.900000
2.000000 -0.900000 0.900000
2.000000 -0.900000 0.900000
2.000000 -0.900000 0.900000
2.000000 -0.900000 0.900000
2.000000 -0.900000 0.900000
2.000000 -0.900000 0.900000
2.000000 -0.900000 0.900000
2.000000 -0.900000 0.900000
2.000000 -0.900000 0.900000
0.900000 -0.900000 2.000000
0.000000 -0.900000 2.000000
-0.900000 -0.900000 2.000000
0.900000 0.000000 2.000000
0.000000 0.000000 2.000000
-0.900000 0.000000 2.000000
0.900000 0.900000 2.000000
0.000000 0.900000 2.000000
-0.900000 0.900000 2.000000
-2.000000 0.900000 -0.900000
-2.000000 0.900000 0.000000
-2.000000 0.900000 0.900000
-2.000000 0.000000 -0.900000
-2.000000 0.000000 0.000000
-2.000000 0.000000 0.900000
-2.000000 -0.900000 -0.900000
-2.000000 -0.900000 0.000000
-2.000000 -0.900000 0.900000
0.900000 -0.900000 -2.000000
0.900000 0.000000 -2.000000
0.900000 0.900000 -2.000000
0.000000 -0.900000 -2.000000
0.000000 0.000000 -2.000000
0.000000 0.900000 -2.000000
-0.900000 -0.900000 -2.000000
-0.900000 0.000000 -2.000000
-0.900000 0.900000 -2.000000
17 -6.000000 -6.000000 -6.000000 0.000000 0.000000
1 1328.528564 1367.480347
2 1319.095459 1316.510986
3 1401.609863 1428.773315
4 1393.992676 1379.655640
5 1385.734985 1328.729614
6 1466.732056 1441.205444
7 1459.778076 1392.062500
8 1452.700928 1341.073975
9 1393.816406 1106.254639
10 1458.247559 1116.005005
11 1523.461792 1125.839478
12 1369.107178 1148.909790
13 1434.665527 1159.272217
14 1501.027222 1169.305664
15 1343.366699 1193.119751
16 1410.052368 1203.866577
17 1477.475952 1214.411499
17 -6.000000 -6.000000 -4.000000 0.000000 0.000000
1 1307.116333 1251.671021
2 1296.777222 1196.280396
3 1383.748047 1316.971558
4 1375.283813 1263.701538
5 1366.244995 1208.342773
6 1451.214966 1329.390747
7 1443.851562 1275.979858
8 1436.040161 1220.346191
9 1375.342773 981.524414
10 1442.477173 991.177368
11 1510.330322 1000.717163
12 1349.232788 1023.834839
13 1417.571533 1033.908325
14 1486.724854 1043.676270
15 1322.078369 1067.574341
16 1391.598633 1077.970215
17 1461.873535 1088.281982
18 -6.000000 -6.000000 -2.000000 0.000000 0.000000
0 1294.678101 1183.764282
1 1283.651367 1125.802734
2 1272.408691 1065.281128
3 1364.053101 1195.682861
4 1354.797241 1137.566040
5 1344.852417 1077.160034
6 1434.406006 1207.763550
7 1426.387085 1149.597412
8 1417.928955 1088.820679
9 1355.039673 845.927185
10 1425.057251 855.146240
11 1495.923828 864.299438
12 1327.425415 887.299683
13 1398.718994 897.123962
14 1471.003296 906.491394
15 1298.610352 930.379089
16 1371.215576 940.523926
17 1444.635742 950.544678
18 -6.000000 -6.000000 0.000000 0.000000 0.000000
0 1269.965820 1051.391479
1 1257.914551 987.897827
2 1245.378296 921.368835
3 1342.477295 1063.046875
4 1332.119141 999.366821
5 1321.236572 932.933105
6 1416.079590 1074.834717
7 1407.127197 1011.063293
8 1397.803833 944.215515
9 1332.427979 696.810242
10 1405.750488 705.750061
11 1479.937500 714.321716
12 1303.048096 737.290161
13 1377.788940 746.747986
14 1453.421387 755.797424
15 1272.404053 779.334900
16 1348.509766 789.156311
17 1425.500488 798.849060
18 -6.000000 -6.000000 2.000000 0.000000 0.000000
0 1242.779907 906.084167
1 1229.219604 835.938538
2 1215.178833 762.268433
3 1318.718506 917.452454
4 1307.121216 847.100403
5 1294.934204 773.511475
6 1395.882324 928.876587
7 1385.908813 858.474182
8 1375.422729 784.461853
9 1307.638672 532.598267
10 1384.458740 540.658264
11 1462.263672 548.501770
12 1276.100708 571.527527
13 1354.592407 580.293213
14 1434.077393 588.823303
15 1243.233643 612.168335
16 1323.338867 621.364868
17 1404.230469 630.443237
16 -6.000000 -6.000000 4.000000 0.000000 0.000000
0 1212.097534 745.188232
1 1196.905029 667.201660
2 1181.297119 585.080750
3 1291.933960 756.098450
4 1278.817993 677.821594
5 1265.128052 595.664001
6 1373.066162 767.115234
7 1361.852051 688.694458
8 1350.022949 605.945923
9 1280.312500 350.977264
10 1360.802490 357.883850
11 1442.547974 364.678101
13 1328.981812 395.536194
14 1412.230347 402.916534
16 1294.979736 434.425812
17 1380.186035 442.498779
9 -6.000000 -6.000000 6.000000 0.000000 0.000000
0 1177.724854 565.932312
1 1160.756958 478.800781
2 1143.544556 387.326294
3 1261.800781 576.086975
4 1247.060181 488.622864
5 1231.736694 396.569855
6 1347.136353 586.399719
7 1334.585693 498.505035
8 1321.347412 405.778351
17 -6.000000 -4.000000 -6.000000 0.000000 0.000000
1 1474.858398 1395.282471
2 1468.049438 1344.192017
3 1547.153687 1457.121460
4 1542.062378 1407.864746
5 1536.372437 1356.707764
6 1613.790527 1470.006836
7 1609.662231 1420.657593
8 1605.183472 1369.333496
9 1538.099976 1129.937500
10 1604.267944 1139.950562
11 1671.153931 1149.997559
12 1515.800293 1173.784790
13 1583.063477 1184.135864
14 1651.192749 1194.534180
15 1492.588989 1219.092896
16 1560.947388 1229.989014
17 1630.282227 1241.022705
17 -6.000000 -4.000000 -4.000000 0.000000 0.000000
1 1459.442383 1279.172119
2 1452.102905 1223.545532
3 1535.067871 1344.964966
4 1529.437012 1291.401489
5 1523.276855 1235.805542
6 1604.447998 1357.631958
7 1599.970215 1304.005615
8 1595.217529 1248.071777
9 1525.682983 1004.657043
10 1594.473267 1014.398560
11 1664.145874 1024.040527
12 1502.146362 1047.991211
13 1572.177979 1058.129272
14 1643.231567 1068.140991
15 1477.540771 1092.893311
16 1548.974121 1103.472656
17 1621.191406 1114.092407
17 -6.000000 -4.000000 -2.000000 0.000000 0.000000
1 1442.692749 1152.588501
2 1434.652832 1091.884888
3 1521.916260 1223.031006
4 1515.691650 1164.641968
5 1508.964355 1103.847168
6 1594.370850 1235.389282
7 1589.308228 1176.887207
8 1584.221191 1115.716187
9 1511.846191 868.172791
10 1583.812988 877.463257
11 1656.631226 886.720825
12 1487.029541 910.749756
13 1560.292358 920.680908
14 1634.572754 930.109375
15 1461.090576 954.966797
16 1535.790527 965.144348
17 1611.305298 975.415283
17 -6.000000 -4.000000 0.000000 0.000000 0.000000
1 1424.170410 1013.987305
2 1415.219849 947.177185
3 1507.401367 1089.764893
4 1500.557373 1025.700562
5 1493.132935 958.846497
6 1583.229980 1101.808350
7 1577.728027 1037.584717
8 1572.091675 970.304810
9 1496.746704 718.271179
10 1571.956787 727.011475
11 1648.163696 735.605103
12 1470.321167 759.859619
13 1547.117920 769.186890
14 1624.967163 778.296631
15 1442.749146 803.107727
16 1521.102661 812.881470
17 1600.330078 822.630005
18 -6.000000 -4.000000 2.000000 0.000000 0.000000
0 1413.492798 931.905701
1 1403.687378 861.393616
2 1393.680542 787.297424
3 1491.529175 943.396790
4 1483.802734 872.618164
5 1475.638794 798.576172
6 1570.963989 954.890625
7 1564.882080 884.010498
8 1558.607788 809.497009
9 1479.882080 552.485779
10 1558.965576 560.714844
11 1639.089722 568.342773
12 1451.813965 592.746094
13 1532.536743 601.462891
14 1614.408691 609.974243
15 1422.320801 634.707764
16 1504.825073 644.006287
17 1588.186523 653.020447
18 -6.000000 -4.000000 4.000000 0.000000 0.000000
0 1391.571777 770.046204
1 1380.557129 691.459656
2 1369.229858 608.689575
3 1473.684326 781.015198
4 1464.867065 702.123840
5 1455.690796 619.232788
6 1557.151611 792.003845
7 1550.376587 712.929932
8 1543.215454 629.545471
9 1461.023926 368.286499
10 1544.336426 375.451782
11 1628.810791 382.162567
12 1430.891479 406.603180
13 1516.082886 414.307953
14 1602.491699 421.770386
15 1399.239624 446.466766
16 1486.319946 454.782806
17 1574.476685 462.902924
9 -6.000000 -4.000000 6.000000 0.000000 0.000000
0 1366.743652 589.171082
1 1354.324097 500.976410
2 1341.716553 408.069214
3 1453.441895 599.442383
4 1443.517090 510.939148
5 1433.072266 417.547424
6 1541.684570 609.758789
7 1534.021118 520.743652
8 1525.928101 426.768372
17 -6.000000 -2.000000 -6.000000 0.000000 0.000000
1 1625.476929 1424.157837
2 1621.430420 1372.884399
3 1697.055420 1486.561890
4 1694.536987 1437.114502
5 1691.768799 1385.806030
6 1765.815186 1499.791138
7 1764.272827 1450.286865
8 1762.786621 1398.635010
9 1686.632568 1154.371948
10 1754.689941 1164.650391
11 1823.498901 1175.005493
12 1666.799805 1199.270630
13 1735.973999 1209.997559
14 1806.076172 1220.708130
15 1646.191040 1245.742676
16 1716.626831 1257.038330
17 1787.934204 1268.250244
18 -6.000000 -2.000000 -4.000000 0.000000 0.000000
0 1620.938110 1361.160889
1 1616.398071 1307.355957
2 1612.178833 1251.562012
3 1691.218872 1373.833008
4 1688.465820 1320.095459
5 1685.377441 1264.106079
6 1762.776367 1386.851562
7 1761.174438 1333.014526
8 1759.703003 1276.782349
9 1680.376953 1028.355347
10 1751.286011 1038.227539
11 1823.034546 1048.047241
12 1659.607056 1072.735229
13 1731.803589 1083.195435
14 1805.014282 1093.382446
15 1637.984253 1118.921753
16 1711.390381 1129.754639
17 1785.969116 1140.722290
18 -6.000000 -2.000000 -2.000000 0.000000 0.000000
0 1611.389526 1238.891357
1 1606.568970 1180.200684
2 1601.849365 1119.138306
3 1684.809570 1251.360596
4 1681.865356 1192.625366
5 1678.460938 1131.444946
6 1759.646240 1264.073608
7 1757.866333 1205.171143
8 1756.176636 1143.636108
9 1673.580566 890.901550
10 1747.636719 900.285095
11 1822.797607 909.605408
12 1651.614990 934.647583
13 1727.099609 944.637939
14 1803.729004 954.303223
15 1628.816406 980.100159
16 1705.692993 990.447449
17 1783.800903 1001.030273
18 -6.000000 -2.000000 0.000000 0.000000 0.000000
0 1600.999756 1105.076416
1 1595.736450 1040.815308
2 1590.416382 973.474243
3 1677.820923 1117.206909
4 1674.429688 1052.653076
5 1670.796387 985.306335
6 1756.111084 1129.519897
7 1754.203125 1064.821533
8 1752.389893 997.030151
9 1666.090454 739.815430
10 1743.653076 748.574585
11 1822.392700 757.122314
12 1642.850952 782.593750
13 1722.087891 791.945618
14 1802.451660 801.027588
15 1618.734497 827.133606
16 1699.411865 836.933777
17 1781.344604 846.839172
18 -6.000000 -2.000000 2.000000 0.000000 0.000000
0 1589.653687 958.101379
1 1583.796387 887.021606
2 1577.946533 812.409607
3 1670.180664 969.687988
4 1666.444214 898.340881
5 1662.519043 823.672974
6 1752.364014 981.381653
7 1750.315063 909.919067
8 1748.381714 834.688904
9 1657.873291 572.325500
10 1739.589600 580.478271
11 1822.404175 588.131287
12 1633.303955 613.967407
13 1716.750854 622.657654
14 1801.455322 630.841431
15 1607.558472 657.208069
16 1692.678467 666.402832
17 1779.044312 675.473755
18 -6.000000 -2.000000 4.000000 0.000000 0.000000
0 1576.895386 795.064636
1 1570.290649 715.858154
2 1563.728027 632.294006
3 1661.725342 806.051147
4 1657.495117 726.497375
5 1653.085327 642.762024
6 1748.249756 817.068665
7 1746.094238 737.244568
8 1743.976196 653.000488
9 1648.787842 385.883911
10 1734.946045 392.909424
